"subject_id","treatment_id","paper_id","choice","endowment","cooperation"
"2017Del037_1_707","2017Del037_1","2017Del037",2,8,0.25
"2017Del037_1_708","2017Del037_1","2017Del037",3,12,0.25
"2017Del037_1_710","2017Del037_1","2017Del037",4,8,0.5
"2017Del037_1_712","2017Del037_1","2017Del037",6,13,0.461538461538462
"2017Del037_1_717","2017Del037_1","2017Del037",3,11,0.272727272727273
"2017Del037_1_718","2017Del037_1","2017Del037",1,10,0.1
"2017Del037_1_802","2017Del037_1","2017Del037",5,11,0.454545454545455
"2017Del037_1_804","2017Del037_1","2017Del037",3,9,0.333333333333333
"2017Del037_1_805","2017Del037_1","2017Del037",0,13,0
"2017Del037_1_810","2017Del037_1","2017Del037",1,10,0.1
"2017Del037_1_813","2017Del037_1","2017Del037",0,10,0
"2017Del037_1_814","2017Del037_1","2017Del037",0,12,0
"2017Del037_1_815","2017Del037_1","2017Del037",5,12,0.416666666666667
"2017Del037_1_817","2017Del037_1","2017Del037",1,11,0.0909090909090909
"2017Del037_1_819","2017Del037_1","2017Del037",1,11,0.0909090909090909
"2017Del037_1_820","2017Del037_1","2017Del037",1,6,0.166666666666667
"2017Del037_1_901","2017Del037_1","2017Del037",5,15,0.333333333333333
"2017Del037_1_903","2017Del037_1","2017Del037",6,12,0.5
"2017Del037_1_906","2017Del037_1","2017Del037",2,8,0.25
"2017Del037_1_908","2017Del037_1","2017Del037",0,12,0
"2017Del037_1_909","2017Del037_1","2017Del037",2,5,0.4
"2017Del037_1_910","2017Del037_1","2017Del037",4,11,0.363636363636364
"2017Del037_1_911","2017Del037_1","2017Del037",3,12,0.25
"2017Del037_1_916","2017Del037_1","2017Del037",6,12,0.5
"2017Del037_1_917","2017Del037_1","2017Del037",3,9,0.333333333333333
"2017Del037_1_918","2017Del037_1","2017Del037",1,10,0.1
"2017Del037_1_920","2017Del037_1","2017Del037",0,0,NA
"2020Bas115_2a_aagi12","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_aamu03","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_aape01","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_aapo29","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_aasi28","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_aatu01","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_abab05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_abhu15","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_abmo19","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_abnu06","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_abro29","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_abua11","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_aera20","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ahfo02","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ahro05","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_airr24","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_aiua23","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ajee04","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ajmu24","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_albu24","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_amdi04","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_amhe10","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_amko28","2020Bas115_2a","2020Bas115",6,10,0.6
"2020Bas115_2a_amma24","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_amsa26","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_amwo05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_amwo27","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_anga10","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_apbo30","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_arge05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_armo27","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_arwa10","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_asau12","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_ascr05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_asdo03","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_asso04","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_asto28","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_asue29","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_bfno09","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_bsoo05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_eaau14","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_eahr19","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ebge20","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ecce01","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ecma28","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_eete24","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_efhe22","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_egke10","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ehau28","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ejme24","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ekto27","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_emiu17","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_enhe06","2020Bas115_2a","2020Bas115",10,10,1
"2020Bas115_2a_esno30","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_espo28","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_essu11","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_ezha19","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ezma09","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_fezi02","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_hage06","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_hamu30","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_hbda07","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_hbge12","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_hhbs26","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_hith07","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_hwhr05","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_iajo26","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ibde07","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_ibja09","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ibso07","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_icho19","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_idiu15","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_igha19","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_iiae13","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_iice13","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_iimo13","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_ijjo09","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_imja22","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_imwo14","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ipah25","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_jmbo10","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_lahi20","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_lbia18","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_lcge22","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_lhue29","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_llii05","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_mcho24","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_naga22","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_neio26","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_neji13","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_nesa18","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_nkye05","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_nldy29","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_nmpo08","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_nsgo08","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_nsno17","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_nsnu29","2020Bas115_2a","2020Bas115",2,10,0.2
"2020Bas115_2a_oaju25","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_obdl31","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_ocio26","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_ocme04","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_ocmu18","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_oesi24","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_ojea25","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_okmi03","2020Bas115_2a","2020Bas115",1,10,0.1
"2020Bas115_2a_okpe06","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_omeo02","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_omra22","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_omro31","2020Bas115_2a","2020Bas115",0,10,0
"2020Bas115_2a_osmr18","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_osur07","2020Bas115_2a","2020Bas115",3,10,0.3
"2020Bas115_2a_ouht02","2020Bas115_2a","2020Bas115",5,10,0.5
"2020Bas115_2a_rbba15","2020Bas115_2a","2020Bas115",4,10,0.4
"2020Bas115_2a_rbtr19","2020Bas115_2a","2020Bas115",0,10,0
