"subject_id","treatment_id","paper_id","choice","endowment","cooperation","gender","age"
"2020Bas115_2a_lbia18","2020Bas115_2a","2020Bas115",5,10,0.5,0,29
"2020Bas115_2a_lcge22","2020Bas115_2a","2020Bas115",2,10,0.2,1,26
"2020Bas115_2a_lhue29","2020Bas115_2a","2020Bas115",5,10,0.5,1,34
"2020Bas115_2a_llii05","2020Bas115_2a","2020Bas115",0,10,0,1,23
"2020Bas115_2a_mcho24","2020Bas115_2a","2020Bas115",5,10,0.5,1,25
"2020Bas115_2a_naga22","2020Bas115_2a","2020Bas115",0,10,0,1,32
"2020Bas115_2a_neio26","2020Bas115_2a","2020Bas115",0,10,0,1,29
"2020Bas115_2a_neji13","2020Bas115_2a","2020Bas115",2,10,0.2,1,23
"2020Bas115_2a_nesa18","2020Bas115_2a","2020Bas115",2,10,0.2,1,22
"2020Bas115_2a_nkye05","2020Bas115_2a","2020Bas115",4,10,0.4,0,28
"2020Bas115_2a_nldy29","2020Bas115_2a","2020Bas115",5,10,0.5,1,28
"2020Bas115_2a_nmpo08","2020Bas115_2a","2020Bas115",1,10,0.1,1,27
"2020Bas115_2a_nsgo08","2020Bas115_2a","2020Bas115",4,10,0.4,1,23
"2020Bas115_2a_nsno17","2020Bas115_2a","2020Bas115",0,10,0,0,19
"2020Bas115_2a_nsnu29","2020Bas115_2a","2020Bas115",2,10,0.2,1,25
"2020Bas115_2a_oaju25","2020Bas115_2a","2020Bas115",5,10,0.5,0,27
"2020Bas115_2a_obdl31","2020Bas115_2a","2020Bas115",4,10,0.4,1,21
"2020Bas115_2a_ocio26","2020Bas115_2a","2020Bas115",4,10,0.4,1,30
"2020Bas115_2a_ocme04","2020Bas115_2a","2020Bas115",4,10,0.4,0,27
"2020Bas115_2a_ocmu18","2020Bas115_2a","2020Bas115",5,10,0.5,0,23
"2020Bas115_2a_oesi24","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_ojea25","2020Bas115_2a","2020Bas115",0,10,0,0,61
"2020Bas115_2a_okmi03","2020Bas115_2a","2020Bas115",1,10,0.1,1,23
"2020Bas115_2a_okpe06","2020Bas115_2a","2020Bas115",0,10,0,0,22
"2020Bas115_2a_omeo02","2020Bas115_2a","2020Bas115",3,10,0.3,0,23
"2020Bas115_2a_omra22","2020Bas115_2a","2020Bas115",5,10,0.5,1,21
"2020Bas115_2a_omro31","2020Bas115_2a","2020Bas115",0,10,0,1,24
"2020Bas115_2a_osmr18","2020Bas115_2a","2020Bas115",5,10,0.5,1,27
"2020Bas115_2a_osur07","2020Bas115_2a","2020Bas115",3,10,0.3,0,24
"2020Bas115_2a_ouht02","2020Bas115_2a","2020Bas115",5,10,0.5,1,24
"2020Bas115_2a_rbba15","2020Bas115_2a","2020Bas115",4,10,0.4,1,27
"2020Bas115_2a_rbtr19","2020Bas115_2a","2020Bas115",0,10,0,0,24
"2020Bas115_2a_rmmi27","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_sbaf19","2020Bas115_2a","2020Bas115",0,10,0,1,21
"2020Bas115_2a_uari14","2020Bas115_2a","2020Bas115",3,10,0.3,1,26
"2020Bas115_2a_ubka03","2020Bas115_2a","2020Bas115",0,10,0,1,23
"2020Bas115_2a_ubmo02","2020Bas115_2a","2020Bas115",5,10,0.5,1,22
"2020Bas115_2a_ueao29","2020Bas115_2a","2020Bas115",4,10,0.4,1,24
"2020Bas115_2a_ushi13","2020Bas115_2a","2020Bas115",5,10,0.5,1,27
"2020Bas115_2a_ustu15","2020Bas115_2a","2020Bas115",3,10,0.3,1,23
"2020Bas115_2a_utao29","2020Bas115_2a","2020Bas115",0,10,0,1,29
"2020Bas115_2a_utva04","2020Bas115_2a","2020Bas115",0,10,0,1,22
"2020Bas115_2a_vasb28","2020Bas115_2a","2020Bas115",4,10,0.4,1,22
"2020Bas115_2a_vpmu27","2020Bas115_2a","2020Bas115",0,10,0,1,27
"2020Bas115_2a_ytca09","2020Bas115_2a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_aaar13","2020Bas115_1a","2020Bas115",5,10,0.5,1,74
