"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Standard_game","Baseline","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Avg_EE","Var_EE","Avg_PNB","Var_PNB","Avg_KW_m","Sd_Avg_NE","Sd_Avg_NE_min_max","specificity_plus","specificity_min","max_sigma"
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game","no check",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","1-Not eligible treatment",0.0870719851107995,0.0122317927212083,0.153846153846154,0.235062890270926,NA,NA,NA,NA,0.725581398914729,0.460886022048567,0.582945736821705,0.343152451576227,0.308527135620155,1.00194363643054
"2018Her061","9",61,"GENExperiment_Money",2018,"WP","Working Paper","Y","between","DG","Y",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.144736842105263,0.0360526315789474,0.5,0.184605658289869,NA,NA,NA,NA,0.824561403508772,0.536055547457004,0.614035087719298,0.412280701754386,0.538011695906433,1.01342341941906
"2019Tjo060","9",60,"Experiment 9",2019,"JBEE","Published","Y","between","DG","N",NA,NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Classroom","KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.273219373219373,NA,NA,NA,NA,0.65,0.169803808359334,0.366666666666667,0.220833333333333,0,1.01273936708367
"2019Tjo060","8",60,"Experiment 8",2019,"JBEE","Published","Y","between","DG","N",NA,NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Lab","KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.322904303375392,NA,NA,NA,NA,0.652777778853973,0.208777305162587,0.525000001241763,0.225694445272287,0,1.00419289050687
"2017Ves049","1a",49,"noRisk",2017,"WP","Working Paper","Y","between","PGG","no check",NA,"4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.439704016913319,NA,NA,NA,NA,0.727272727272727,0.382297566122727,0.459090909090909,0.357954545454546,0,1.01156107771775
"2017Ves049","2a",49,"IndependentRisk",2017,"WP","Working Paper","Y","between","PGG","no check",NA,"4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.4875,0.0877127659574468,1,0.431418439716312,NA,NA,NA,NA,0.708333333333333,0.378075256905631,0.435416666666667,0.327083333333333,0,1.01058230527982
"2017Ves049","3a",49,"CorreletedRisk",2017,"WP","Working Paper","Y","between","PGG","no check",NA,"4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.488926690079017,NA,NA,NA,NA,0.586764705882353,0.305639515220348,0.163235294117647,0.109558823529412,0,1.00743504660813
"2018Kim038","2",38,"GiveTakeDG",2018,"EcLetters","Published","N","between","ToG","Y",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","4-Email sent",0.206764705882353,0.0584664923747277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018Kim038","1",38,"baseline",2018,"EcLetters","Published","N","between","DG","Y",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","4-Email sent",0.199090909090909,0.0377945031712474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017Del037","3",37,"Out Treatment",2017,"GAMES","Published","N","between","DG","N",NA,"2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.286455537926126,0.0288818182508368,0.166666666666667,0.34005376344086,NA,NA,NA,NA,0.470588235294118,0.532239912822983,0.156862745098039,0.107843137254902,0.405228758169935,1.0150384378451
