"","treatment_id","scenarios","subject_id","paper_id","Game_type","choice","A","endowment","female","age","Design","mean_app","sd_app"
"23","2007Lis165_1a",0,"2007Lis165_1a_4","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"24","2007Lis165_1a",0,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"25","2007Lis165_1a",0.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"26","2007Lis165_1a",0.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"27","2007Lis165_1a",0.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"28","2007Lis165_1a",0.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"29","2007Lis165_1a",0.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"30","2007Lis165_1a",0.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"31","2007Lis165_1a",0.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"32","2007Lis165_1a",0.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"33","2007Lis165_1a",0.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"34","2007Lis165_1a",0.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"35","2007Lis165_1a",0.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"36","2007Lis165_1a",0.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"37","2007Lis165_1a",0.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"38","2007Lis165_1a",0.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"39","2007Lis165_1a",0.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"40","2007Lis165_1a",0.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"41","2007Lis165_1a",0.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"42","2007Lis165_1a",0.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"43","2007Lis165_1a",0.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"44","2007Lis165_1a",0.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"45","2007Lis165_1a",0.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"46","2007Lis165_1a",0.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"47","2007Lis165_1a",0.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"48","2007Lis165_1a",0.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.467999994754791,0.728471008664169
"49","2007Lis165_1a",1,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"50","2007Lis165_1a",1,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"51","2007Lis165_1a",1,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"52","2007Lis165_1a",1,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"53","2007Lis165_1a",1,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"54","2007Lis165_1a",1,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"55","2007Lis165_1a",1,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
"56","2007Lis165_1a",1,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.521428580795016,0.326926518039259
