"treatment_id","subject_id","paper_id","female","age","scenarios","KW_Normative","Game_type","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal","Design"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"2",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"3",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"4",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"6",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"7",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"8",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"9",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,22,"10",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"2",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"3",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"4",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"6",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"7",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"8",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"9",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,28,"10",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"2",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"3",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"4",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"6",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"7",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"8",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"9",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aehr08","2020Bas115",0,27,"10",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"2",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"3",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"4",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"6",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"7",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"8",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"9",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agdc16","2020Bas115",1,24,"10",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"2",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"3",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"4",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"6",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"7",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"8",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"9",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agga18","2020Bas115",1,24,"10",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"1",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"2",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"3",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"4",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"6",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"7",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"8",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"9",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agho14","2020Bas115",1,24,"10",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"2",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"3",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"4",-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"5",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"6",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"7",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"8",0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"9",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_agoo23","2020Bas115",0,36,"10",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"1",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"2",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"3",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"4",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"5",1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"6",0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"7",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"8",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"9",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aida08","2020Bas115",1,27,"10",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,"0",-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,"1",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,"2",-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aimo13","2020Bas115",1,22,"3",-0.3,"DG",NA,NA,NA,NA,"Within"
