"subject_id","treatment_id","paper_id","Game_type","scenarios","choice","A","endowment","female","age","Design"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",1,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",2,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",3,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",4,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",5,5,1,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",6,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",7,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",8,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",9,5,0,10,0,28,"Between"
"2019Cha026_1_436","2019Cha026_1","2019Cha026","DG",10,5,0,10,0,28,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",0,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",1,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",2,2,1,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",3,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",4,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",5,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",6,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",7,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",8,2,0,10,1,27,"Between"
"2019Cha026_1_439","2019Cha026_1","2019Cha026","DG",9,2,0,10,1,27,"Between"
