"paper_id","treatment_id","subject_id","scenarios","choice","A","endowment","mean_app","sd_app","Game_type","female","age","Design","payoff","other_payoff_ahead","other_payoff_behind","id"
"2007Lis165","2007Lis165_1a","2007Lis165_1a_14",2,1,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,6
"2007Lis165","2007Lis165_1a","2007Lis165_1a_7",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,22
"2007Lis165","2007Lis165_1a","2007Lis165_1a_18",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,10
"2007Lis165","2007Lis165_1a","2007Lis165_1a_24",2,5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,17
"2007Lis165","2007Lis165_1a","2007Lis165_1a_12",2,1,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,4
"2007Lis165","2007Lis165_1a","2007Lis165_1a_4",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,19
"2007Lis165","2007Lis165_1a","2007Lis165_1a_13",2,1,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,5
"2007Lis165","2007Lis165_1a","2007Lis165_1a_1",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,1
"2007Lis165","2007Lis165_1a","2007Lis165_1a_23",2,3,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,16
"2007Lis165","2007Lis165_1a","2007Lis165_1a_16",2,2,1,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,8
"2007Lis165","2007Lis165_1a","2007Lis165_1a_15",2,2,1,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,7
"2007Lis165","2007Lis165_1a","2007Lis165_1a_8",2,0.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,23
"2007Lis165","2007Lis165_1a","2007Lis165_1a_20",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,13
"2007Lis165","2007Lis165_1a","2007Lis165_1a_10",2,0.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,2
"2007Lis165","2007Lis165_1a","2007Lis165_1a_21",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,14
"2007Lis165","2007Lis165_1a","2007Lis165_1a_17",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,9
"2007Lis165","2007Lis165_1a","2007Lis165_1a_2",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,12
"2007Lis165","2007Lis165_1a","2007Lis165_1a_5",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,20
"2007Lis165","2007Lis165_1a","2007Lis165_1a_3",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,18
"2007Lis165","2007Lis165_1a","2007Lis165_1a_11",2,0.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,3
"2007Lis165","2007Lis165_1a","2007Lis165_1a_6",2,0,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,21
"2007Lis165","2007Lis165_1a","2007Lis165_1a_19",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,11
"2007Lis165","2007Lis165_1a","2007Lis165_1a_22",2,2.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,15
"2007Lis165","2007Lis165_1a","2007Lis165_1a_9",2,0.5,0,5,0.165595242310138,0.471200347936349,"DG",,,"Between",3,1,0,24
"2007Lis165","2007Lis165_1a","2007Lis165_1a_18",2.5,2.5,1,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,10
"2007Lis165","2007Lis165_1a","2007Lis165_1a_19",2.5,2.5,1,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,11
"2007Lis165","2007Lis165_1a","2007Lis165_1a_10",2.5,0.5,0,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,2
"2007Lis165","2007Lis165_1a","2007Lis165_1a_14",2.5,1,0,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,6
"2007Lis165","2007Lis165_1a","2007Lis165_1a_8",2.5,0.5,0,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,23
"2007Lis165","2007Lis165_1a","2007Lis165_1a_1",2.5,0,0,5,0.801428572053001,0.460126077647814,"DG",,,"Between",2.5,0,0,1
