-------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
 opened on:   6 Sep 2023, 08:51:43

. matlist v

             |        c1         c2         c3 
        r142 | -2.068201   .7736697   .0075124 
        r143 | -2.696015   1.291098   .0367837 
        r144 | -1.862775   1.037884   .0726884 
        r145 | -4.323829   1.329684   .0011469 
        r146 | -.8867827   .9300598   .3403528 
        r147 |  -1.59431    1.20448   .1856192 
        r148 | -1.990523   1.129373   .0779846 
        r149 | -3.411407   .7426297   4.35e-06 
        r150 | -2.853709   1.273973   .0250905 
        r151 | -2.498138   1.409829   .0764038 
        r152 | -2.793498   .6216171   6.99e-06 
        r153 | -1.817075   1.302309    .162934 
        r154 | -2.142965   1.547073   .1659994 
        r155 | -3.987781   1.498755   .0077971 
        r156 | -1.568582   .8722243   .0721183 
        r157 | -3.910588   .9304438   .0000263 
        r158 | -1.970805     1.0985   .0727992 
        r159 | -2.419369   1.678355   .1494399 
        r160 | -4.340273   1.550865   .0051322 
        r161 | -4.087671   1.018484   .0000598 
        r162 | -4.722799   1.260612   .0001794 
        r163 |  -2.95498    .535904   3.51e-08 
        r164 | -2.498768   1.197255   .0368809 
        r165 | -.2850414   1.277535   .8234435 
        r166 | -2.324807   1.478026   .1157389 
        r167 |  -1.39537   .7428215   .0603166 
        r168 | -2.700294   1.124024   .0162903 
        r169 | -2.470898   1.014178   .0148361 
        r170 | -3.381323   .9830455   .0005825 
        r171 |  -2.10634   1.059794   .0468671 
        r172 | -2.317269   1.574348   .1410502 
        r173 | -2.631264   1.111751   .0179438 
        r174 | -3.765153   1.239126   .0023771 
        r175 | -1.784834   .9725109   .0664636 
        r176 | -1.088856   .9871553   .2700168 
        r177 | -1.971382    1.31367   .1334416 
        r178 | -3.871033   1.405319   .0058771 
        r179 | -2.331754   1.201938   .0523803 
        r180 | -2.865015   .6532588   .0000116 
        r181 | -2.098129   .5360622   .0000908 
        r182 | -2.428084   .8940348   .0066101 
        r183 | -2.757944   1.104527   .0125268 
        r184 | -2.730386   1.258399   .0300273 
        r185 | -1.052859   1.021351   .3026116 
        r186 | -3.917712   .8688597   6.51e-06 
        r187 | -1.274155   .9388183   .1747207 
        r188 | -1.731526   .8617264    .044498 
        r189 | -2.558035   1.033967    .013361 
        r190 | -2.514887    .816364   .0020659 
        r191 | -4.487505   1.141349   .0000843 
        r192 | -3.461999   .8430527   .0000402 
        r193 | -2.600058   .7655052   .0006825 
        r194 | -2.852563   .8704452   .0010487 
        r195 | -3.527682   1.440707   .0143422 
        r196 | -3.784417    1.10174   .0005927 
        r197 | -3.362143   .9876159   .0006633 
        r198 | -3.566244   .9112848    .000091 
        r199 |  -2.79461   .8749113   .0014024 
        r200 | -2.984801   .9205201   .0011848 

. matlist k

             |        c1         c2         c3 
-------------+---------------------------------
          r1 |  1.581795   .5636513   .0050108 
          r2 |   1.61778   .5669025   .0043211 
          r3 |  1.644421    .527225   .0018146 
          r4 |  1.590384   .4735763   .0007844 
          r5 |  1.553804   .5156757   .0025856 
          r6 |  1.641183   .4311715    .000141 
          r7 |  1.596113   .5114227   .0018028 
          r8 |  1.683223   .5579953   .0025567 
          r9 |  1.684083   .4935003   .0006436 
         r10 |  1.647373   .5112085   .0012707 
         r11 |  1.720403   .5282444   .0011266 
         r12 |  1.644848   .5379658   .0022317 
         r13 |  1.561096   .4956041   .0016333 
         r14 |  1.620449   .5393129   .0026588 
         r15 |  1.607391   .5049268   .0014555 
         r16 |  1.617285   .5054554   .0013759 
         r17 |  1.579914   .5414242    .003522 
         r18 |  1.782213   .5237549   .0006671 
         r19 |  1.551792   .5287645   .0033382 
         r20 |  1.689917   .5418523    .001816 
         r21 |  1.575548   .4648181   .0006999 
         r22 |  1.597828   .5153294   .0019313 
         r23 |  1.695342   .4846865   .0004691 
         r24 |   1.70871   .5380395   .0014942 
         r25 |  1.620517   .5221917   .0019138 
         r26 |  1.649146   .4860606   .0006916 
         r27 |  1.705391   .4848978   .0004364 
         r28 |  1.733513   .5477081   .0015507 
         r29 |  1.599636   .4934817   .0011889 
         r30 |  1.722332   .5447339    .001568 
         r31 |  1.504288   .4646688   .0012065 
         r32 |  1.662873   .5718594   .0036394 
         r33 |  1.706802   .5555575   .0021246 
         r34 |  1.593309   .5051506   .0016098 
         r35 |  1.593852    .496732   .0013335 
         r36 |  1.666134   .5528303   .0025798 
         r37 |  1.648806   .4943462    .000852 
         r38 |   1.60119   .5474541   .0034469 
         r39 |  1.655504   .4984955    .000897 
         r40 |   1.62576   .4820763   .0007451 
         r41 |  1.571422   .5193742   .0024814 
         r42 |  1.715652   .5619673   .0022661 
         r43 |  1.534743   .5012375   .0021993 
         r44 |  1.656537   .5328894   .0018798 
         r45 |  1.620049   .4758391   .0006626 
         r46 |  1.641256   .5100353   .0012912 
         r47 |  1.647517   .5230591    .001634 
         r48 |   1.54255   .5757166   .0073764 
         r49 |  1.654069   .5477257   .0025287 
         r50 |  1.652794   .5570656   .0030075 
         r51 |  1.721328   .5560033   .0019622 
         r52 |  1.703417    .515404   .0009497 
         r53 |  1.629725   .5103038   .0014049 
         r54 |  1.564934   .5130035   .0022844 
         r55 |  1.691545   .5502941   .0021129 
         r56 |  1.694213   .4951161    .000622 
         r57 |  1.615465   .5193342   .0018668 
         r58 |  1.541748   .5114947   .0025766 
         r59 |  1.645058    .537912   .0022265 
         r60 |  1.556878   .4997359   .0018369 
         r61 |  1.566627   .4926704   .0014734 
         r62 |  1.584927   .5445418   .0036077 
         r63 |  1.612252   .5742481   .0049914 
         r64 |  1.645064   .5527478   .0029189 
         r65 |  1.671035   .4994451   .0008205 
         r66 |  1.628729   .5420928     .00266 
         r67 |  1.630415   .5127572   .0014743 
         r68 |   1.83841   .5822723   .0015924 
         r69 |  1.626193   .5202768   .0017742 
         r70 |  1.797897    .603164   .0028752 
         r71 |  1.536358   .5231552   .0033171 
         r72 |  1.621544   .5635803    .004012 
         r73 |  1.693501   .4671405   .0002887 
         r74 |   1.59333   .5294407   .0026171 
         r75 |  1.565472   .5060433   .0019778 
         r76 |  1.697259   .5411382     .00171 
         r77 |  1.600232   .4590884   .0004909 
         r78 |  1.626654    .498705   .0011072 
         r79 |  1.625344   .5066638   .0013369 
         r80 |  1.572973    .519917   .0024828 
         r81 |  1.609608    .503731   .0013965 
         r82 |  1.587444   .5435088   .0034921 
         r83 |  1.531831   .4875032   .0016768 
         r84 |  1.647363   .5131333   .0013255 
         r85 |  1.628777   .5655111   .0039744 
         r86 |  1.504394   .5293673   .0044849 
         r87 |  1.671704   .5126505   .0011106 
         r88 |  1.632508   .5026525   .0011631 
         r89 |  1.571352   .4926437   .0014245 
         r90 |  1.670649   .5378999   .0018972 
         r91 |  1.667863   .4731233   .0004231 
         r92 |  1.520873   .5415842    .004982 
         r93 |  1.629253   .5033113   .0012076 
         r94 |   1.60173   .4813635   .0008763 
         r95 |  1.764081   .4869748   .0002917 
         r96 |  1.571232   .4943208     .00148 
         r97 |   1.70541   .5308165   .0013145 
         r98 |  1.653854   .5425249   .0023003 
         r99 |  1.684271   .5094936   .0009471 
        r100 |  1.529317    .485326   .0016265 
